"Feed URL","Episode ID",Visible?,"Marked as played on","Manually set","Is New?","Last played on","Playback position","Play count","Has been played?"
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1139",,,No,No,2016-07-07T05:39:30.257Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1143",,,No,No,2016-07-09T04:09:11Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1146",,,No,No,2016-07-09T04:38:35Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1151",,,No,No,2016-07-09T05:02:02Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1155",,,No,No,2016-07-10T04:18:56Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1157",,,No,No,2016-07-10T04:19:00.671Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1162",,,No,No,2016-07-10T04:59:27Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1166",,2016-10-09T01:01:48.161Z,No,No,2016-10-09T01:01:48Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1174",,,No,No,2016-07-11T07:18:04Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1177",,,No,No,2016-07-11T07:42:23Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1181",,,No,No,2016-07-11T08:11:34Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1187",,,No,No,2016-07-12T11:08:15Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1191",,,No,No,2016-07-14T06:51:54Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1196",,,No,No,2016-07-23T01:12:59Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1202",,2016-10-09T01:01:44.882Z,No,No,2016-10-09T01:01:44Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1209",,,No,No,2016-07-28T07:43:30Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1214",,,No,No,2016-08-14T01:16:06Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1219",,,No,No,2016-08-14T01:38:35Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1222",,,No,No,2016-08-19T06:43:01Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1225",,,No,No,2016-08-27T00:01:41Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1231",,,No,No,2016-09-08T21:22:21Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1234",,,No,No,2016-09-22T05:48:29Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1237",,2016-09-22T13:07:10.502Z,No,No,2016-09-22T13:07:10Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1241",,2016-10-09T01:01:41.229Z,No,No,2016-10-09T01:01:41Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1244",,,No,No,2016-10-08T04:14:52Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1247",,,No,No,2016-10-13T05:26:05Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1253",,,No,No,2016-10-19T12:51:06Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1256",,,No,No,2016-10-26T12:07:37Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1259",,,No,No,2016-11-05T23:32:38Z,,,
"http://feeds.99percentinvisible.org/99percentinvisible","http://99percentinvisible.prx.org/?p=1263",,,No,No,2016-11-11T08:35:52Z,,,
